PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PRD000001;PRIDE_Exp_Complete_Ac_1.xml	658	657	1	19	NA
PRD000001;PRIDE_Exp_Complete_Ac_1643.xml	1206	1203	3	44	NA
PRD000001;PRIDE_Exp_Complete_Ac_1644.xml	658	657	1	19	NA
PRD000001;PRIDE_Exp_Complete_Ac_2.xml	76	76	NA	2	NA
PRD000001;PRIDE_Exp_Complete_Ac_3.xml	1300	1293	7	45	NA
PRD000008;PRIDE_Exp_Complete_Ac_1632.xml	233	231	2	19	NA
PRD000008;PRIDE_Exp_Complete_Ac_1633.xml	301	297	4	22	1
PRD000008;PRIDE_Exp_Complete_Ac_1634.xml	282	278	4	16	NA
PRD000008;PRIDE_Exp_Complete_Ac_1635.xml	327	319	8	20	NA
PRD000011;PRIDE_Exp_Complete_Ac_1642.xml	1985	1977	8	77	1
PRD000012;PRIDE_Exp_Complete_Ac_1645.xml	87	82	5	1	NA
PRD000013;PRIDE_Exp_Complete_Ac_1646.xml	99	99	NA	2	NA
PRD000015;PRIDE_Exp_Complete_Ac_1653.xml	361	361	NA	NA	NA
PRD000019;PRIDE_Exp_Complete_Ac_1755.xml	127	126	1	57	NA
PRD000019;PRIDE_Exp_Complete_Ac_1756.xml	86	86	NA	11	NA
PRD000019;PRIDE_Exp_Complete_Ac_1757.xml	118	118	NA	2	NA
PRD000019;PRIDE_Exp_Complete_Ac_1758.xml	276	272	4	253	4
PRD000019;PRIDE_Exp_Complete_Ac_1759.xml	101	100	1	NA	NA
PRD000019;PRIDE_Exp_Complete_Ac_1760.xml	1277	1272	5	20	NA
PRD000019;PRIDE_Exp_Complete_Ac_1761.xml	1214	1171	43	13	3
PRD000019;PRIDE_Exp_Complete_Ac_1762.xml	1219	1200	19	3	NA
PRD000019;PRIDE_Exp_Complete_Ac_1763.xml	1741	1698	43	643	5
PRD000019;PRIDE_Exp_Complete_Ac_1764.xml	1749	1743	6	1	NA
PRD000019;PRIDE_Exp_Complete_Ac_1765.xml	1069	1059	10	123	3
PRD000019;PRIDE_Exp_Complete_Ac_1766.xml	1340	1338	2	49	NA
PRD000019;PRIDE_Exp_Complete_Ac_1767.xml	1583	1580	3	42	NA
PRD000019;PRIDE_Exp_Complete_Ac_1768.xml	827	823	4	230	NA
PRD000019;PRIDE_Exp_Complete_Ac_1769.xml	2068	2063	5	1987	NA
PRD000019;PRIDE_Exp_Complete_Ac_1770.xml	1197	1160	37	5	NA
PRD000019;PRIDE_Exp_Complete_Ac_1771.xml	1184	1143	41	18	NA
PRD000019;PRIDE_Exp_Complete_Ac_1772.xml	255	253	2	10	NA
PRD000020;PRIDE_Exp_Complete_Ac_1779.xml	118	106	12	10	1
PRD000020;PRIDE_Exp_Complete_Ac_1780.xml	29	28	1	3	NA
PRD000020;PRIDE_Exp_Complete_Ac_1781.xml	53	49	4	5	NA
PRD000020;PRIDE_Exp_Complete_Ac_1782.xml	12	11	1	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1783.xml	10	10	NA	NA	NA
PRD000020;PRIDE_Exp_Complete_Ac_1784.xml	10	10	NA	1	NA
PRD000020;PRIDE_Exp_Complete_Ac_1785.xml	82	82	NA	1	NA
PRD000020;PRIDE_Exp_Complete_Ac_1786.xml	2	2	NA	NA	NA
