PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PXD001311	39706	293	NA	293	NA	13
PXD001311	39707	401	NA	401	NA	37
PXD001311	39708	846	NA	846	NA	79
PXD001311	39709	634	NA	634	NA	25
PXD001311	39710	220	NA	220	NA	13
PXD001311	39711	50	NA	50	NA	NA
PXD001311	39712	359	NA	359	NA	21
PXD001311	39713	433	NA	433	NA	17
PXD001311	39714	289	NA	289	NA	11
PXD001311	39715	155	NA	155	NA	6
PXD001311	39716	436	1	435	NA	19
PXD001311	39717	593	NA	593	NA	38
PXD001311	39718	409	NA	409	NA	35
PXD001311	39719	217	NA	217	NA	9
PXD001311	39720	189	NA	189	NA	5
PXD001311	39721	582	NA	582	NA	35
PXD001311	39722	865	NA	865	NA	97
PXD001311	39723	436	NA	436	NA	26
PXD001311	39724	626	NA	626	NA	37
PXD001311	39725	526	NA	526	NA	26
PXD001311	39726	403	2	401	NA	27
PXD001311	39727	303	NA	303	NA	25
PXD001311	39728	284	NA	284	NA	19
PXD001311	39729	340	NA	340	NA	16
PRD000644	21593	44	44	NA	6	NA
PRD000644	21594	16	15	1	7	1
PRD000644	21595	21	20	1	NA	NA
PRD000644	21596	63	60	3	13	1
PRD000644	21597	4	4	NA	NA	NA
PRD000644	21598	69	61	8	16	NA
PRD000644	21599	7	7	NA	1	NA
PRD000644	21600	36	34	2	7	NA
PRD000644	21601	4	3	1	NA	NA
PRD000644	21602	9	9	NA	1	NA
PRD000644	21603	22	22	NA	NA	NA
PRD000644	21604	25	24	1	NA	NA
PRD000644	21605	8	8	NA	NA	NA
PRD000644	21606	3	3	NA	1	NA
PRD000644	21607	82	75	7	27	5
PRD000644	21608	14	13	1	3	1
PRD000644	21609	16	16	NA	13	NA
PRD000644	21610	15	15	NA	NA	NA
PRD000644	21611	12	11	1	2	1
PRD000644	21612	9	9	NA	NA	NA
PRD000644	21613	5	5	NA	3	NA
PRD000644	21614	7	7	NA	5	NA
PRD000644	21615	18	15	3	7	1
PRD000644	21616	14	14	NA	4	NA
PRD000644	21617	15	15	NA	NA	NA
PRD000644	21618	16	13	3	10	3
PRD000644	21619	8	7	1	6	1
PRD000644	21620	5	4	1	1	1
PRD000644	21621	37	33	4	30	4
PRD000644	21622	28	25	3	19	3
PRD000644	21623	10	10	NA	9	NA
PRD000644	21624	13	13	NA	4	NA
PRD000644	21625	3	3	NA	2	NA
PRD000644	21626	13	12	1	8	1
PRD000644	21627	2	2	NA	NA	NA
PRD000644	21630	5	5	NA	4	NA
PRD000644	21631	7	6	1	5	1
PRD000644	21632	20	20	NA	17	NA
PRD000644	21634	8	8	NA	6	NA
PRD000644	21635	25	25	NA	8	NA
PRD000644	21636	3	3	NA	3	NA
PRD000644	21637	28	25	3	24	3
PRD000644	21638	4	4	NA	NA	NA
PRD000644	21639	19	16	3	11	1
PRD000644	21640	8	7	1	2	1
PRD000644	21641	7	7	NA	5	NA
PRD000644	21642	1	1	NA	NA	NA
PRD000644	21643	18	15	3	11	2
PRD000644	21644	2	2	NA	1	NA
PRD000644	21645	19	18	1	16	1
PRD000644	21646	24	23	1	19	1
PRD000644	21647	11	10	1	4	NA
PRD000644	21648	41	37	4	13	1
PRD000644	21649	32	32	NA	32	NA
PRD000644	21650	7	7	NA	6	NA
PRD000644	21651	2	2	NA	NA	NA
PRD000644	21652	4	4	NA	4	NA
PRD000644	21653	33	33	NA	5	NA
PRD000644	21654	12	11	1	10	NA
PRD000644	21655	5	3	2	1	1
PRD000644	21656	5	4	1	NA	NA
PRD000644	21657	3	3	NA	2	NA
PRD000644	21658	8	8	NA	5	NA
PRD000644	21659	7	7	NA	7	NA
PRD000644	21660	17	15	2	13	2
PRD000644	21662	26	23	3	23	3
PRD000644	21663	7	7	NA	2	NA
PRD000644	21664	21	21	NA	9	NA
PRD000644	21665	1	1	NA	NA	NA
PRD000644	21666	4	4	NA	3	NA
PRD000644	21669	3	3	NA	NA	NA
PRD000644	21671	26	23	3	19	3
PRD000644	21672	29	27	2	22	2
PRD000644	21673	2	2	NA	1	NA
PRD000644	21674	7	7	NA	7	NA
PRD000644	21675	8	6	2	6	2
PRD000644	21676	26	25	1	14	1
PRD000644	21678	5	5	NA	3	NA
PRD000644	21679	17	15	2	13	2
PRD000644	21680	11	10	1	8	1
PRD000644	21681	2	2	NA	1	NA
PRD000644	21682	8	8	NA	4	NA
PRD000644	21683	1	1	NA	NA	NA
PRD000644	21684	48	41	7	36	5
PRD000644	21685	14	14	NA	10	NA
PRD000644	21686	21	19	2	17	2
PRD000644	21687	4	4	NA	4	NA
PRD000644	21688	4	4	NA	3	NA
PRD000644	21689	8	7	1	2	1
PRD000644	21690	22	22	NA	8	NA
PRD000644	21691	12	12	NA	12	NA
PRD000644	21692	1	1	NA	1	NA
PRD000644	21693	3	3	NA	3	NA
PRD000644	21694	11	10	1	8	1
PRD000644	21695	10	10	NA	NA	NA
PRD000644	21696	31	29	2	22	1
PRD000644	21697	6	6	NA	3	NA
PRD000644	21699	5	5	NA	2	NA
PRD000644	21700	21	20	1	18	1
PRD000644	21701	4	4	NA	NA	NA
PRD000644	21702	87	58	29	9	1
PRD000644	21703	11	11	NA	8	NA
PRD000644	21704	4	4	NA	1	NA
PRD000644	21705	27	25	2	NA	NA
PRD000644	21706	1	1	NA	NA	NA
PRD000644	21707	6	5	1	3	NA
PRD000644	21708	17	17	NA	7	NA
PRD000644	21709	5	5	NA	3	NA
PRD000644	21710	17	16	1	1	1
PRD000644	21711	4	4	NA	1	NA
PRD000644	21712	15	13	2	3	NA
PRD000644	21713	4	4	NA	NA	NA
PRD000644	21714	1	1	NA	NA	NA
PRD000644	21715	21	19	2	8	2
