PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PRD000001	3898	3886	12	129	NA
PRD000008	1143	1125	18	77	1
PRD000011	1985	1977	8	77	1
PRD000012	87	82	5	1	NA
PRD000013	99	99	NA	2	NA
PRD000015	361	361	NA	NA	NA
PRD000019	17431	17205	226	3467	15
PRD000020	3839	3579	260	646	60
PRD000029	2	2	NA	1	NA
PRD000032	168468	127937	40531	5924	2064
PRD000044	130439	129831	608	NA	51
PRD000046	342	323	19	189	NA
PRD000047	4340	4268	72	10	11
PRD000050	349	344	5	3	2
PRD000053	194490	193679	811	9516	122
PRD000054	45838	42905	2933	243	95
PRD000055	12396	11958	438	236	58
PRD000057	482365	479338	3027	NA	10
PRD000059	14845	14649	196	2225	46
PRD000062	854	843	11	15	1
PRD000065	2384	2375	9	95	3
PRD000066	98403	95113	3290	2075	875
PRD000067	1709	620	1089	NA	106
PRD000068	3088	3075	13	21	1
PRD000072	40858	40491	367	72	58
PRD000073	116704	103190	13514	4993	2710
PRD000075	154	154	NA	NA	NA
PRD000083	106183	101965	4218	94	291
PRD000084	36668	36511	157	NA	21
PRD000087	64675	64118	557	419	130
PRD000089	71370	68181	3189	1309	549
PRD000092	39986	39459	527	5101	136
PRD000093	122	10	112	NA	92
PRD000096	38557	38544	13	NA	NA
PRD000097	184507	183583	924	170	36
PRD000100	146055	145718	337	17	22
PRD000103	30	30	NA	2	NA
PRD000105	2227	2207	20	NA	NA
PRD000108	15239	7296	7943	3793	4012
PRD000112	180	180	NA	28	NA
PRD000118	55864	55643	221	9648	31
PRD000122	1662	42	1620	NA	104
PRD000123	1330	1245	85	23	15
PRD000124	140	133	7	2	NA
PRD000126	25425	24502	923	1523	67
PRD000127	14216	12266	1950	178	270
PRD000139	89253	89219	34	NA	1
PRD000141	44693	44513	180	5208	2
PRD000142	455	454	1	NA	NA
PRD000143	572	564	8	299	8
PRD000146	24228	23971	257	2182	45
PRD000151	4046	4028	18	2078	4
PRD000154	85575	85338	237	5975	14
PRD000156	294	290	4	216	NA
PRD000165	84186	46561	37625	2987	4321
PRD000167	6845	6802	43	343	11
PRD000168	25235	25229	6	94	NA
PRD000169	415	402	13	179	4
PRD000172	5915	5285	630	632	467
PRD000174	441	441	NA	NA	NA
PRD000176	51110	50908	202	976	37
PRD000178	16434	16388	46	908	NA
PRD000180	13	13	NA	NA	NA
PRD000181	12766	12743	23	803	NA
PRD000182	10188	10182	6	1545	NA
PRD000191	7366	7364	2	NA	NA
PRD000192	8211	8207	4	NA	NA
PRD000193	9749	9749	NA	NA	NA
PRD000194	94568	94318	250	1216	91
PRD000204	4838	4810	28	NA	5
PRD000211	146	145	1	124	1
PRD000212	4211	4205	6	1152	2
PRD000214	73284	72954	330	12230	133
PRD000216	8058	8003	55	1710	10
PRD000218	296	285	11	NA	NA
PRD000220	2	NA	2	NA	NA
PRD000221	238248	237670	578	9226	50
PRD000224	12	10	2	NA	NA
PRD000226	4039	3804	235	21	4
PRD000227	361	209	152	83	14
PRD000228	9370	9363	7	264	NA
PRD000229	11212	11207	5	404	NA
PRD000231	7904	7251	653	735	131
PRD000232	499170	497453	1717	11248	34
PRD000233	41	40	1	NA	NA
PRD000234	11878	11493	385	1164	273
PRD000241	1672	1657	15	NA	7
PRD000242	1628	1426	202	789	103
PRD000246	48951	29394	19557	49	2458
PRD000250	1814	1809	5	52	NA
PRD000251	37	36	1	10	NA
PRD000258	8	8	NA	NA	NA
PRD000259	1625	778	847	201	73
PRD000262	2745	2744	1	NA	NA
PRD000263	7136	7129	7	145	2
PRD000268	15	15	NA	NA	NA
PRD000269	78389	37432	40957	3592	4382
PRD000270	68	65	3	29	3
PRD000271	16508	16459	49	393	1
PRD000272	109343	108979	364	2921	70
PRD000276	79	79	NA	NA	NA
PRD000277	83503	82637	866	5945	61
PRD000280	79325	79030	295	NA	10
PRD000281	79	79	NA	8	NA
PRD000285	2073	2038	35	102	NA
PRD000288	5866	5844	22	7	8
PRD000289	8720	7520	1200	1251	833
PRD000291	357	352	5	204	3
PRD000293	14555	14145	410	NA	NA
PRD000303	680	128	552	116	418
PRD000307	576	573	3	NA	2
PRD000308	18501	18500	1	NA	NA
PRD000314	100739	100614	125	NA	NA
PRD000319	3073	2041	1032	124	641
PRD000321	26829	26789	40	891	NA
PRD000327	46618	46478	140	7	19
